source,country,country_name,title,company,location,salary_min,salary_max,description,url,posted,skills,query,fetched_at
adzuna,in,India,Physical Design Engineer (T&D),Burns Mcdonnell,"Mumbai, Maharashtra",,,"We're looking for a Physical Design Engineer with 3-10 years of experience in substation design to join our Transmission & Distribution team. The ideal candidate will be an Electrical Engineer with a strong background in creating primary electrical design deliverables for a variety of projects. This role requires a professional who is not only skilled in design but also capable of mentoring, collaborating, and solving complex problems to enhance the resilience and reliability of the electric gr…",https://www.adzuna.in/details/5661177119?utm_medium=api&utm_source=1fc61054,2026-03-11T07:03:02Z,"['substation', 'LV', 'distribution', 'transmission']",grid engineer,2026-04-04T14:48:11.817664
adzuna,in,India,Site Electrical Engineer – Solar Projects,VHAN Busienss Engagements,"Ramanathapuram, Tamil Nadu",420000.0,840000.0,"Industry & Sector: Renewable Energy — Utility-scale Solar PV / EPC projects delivering grid-connected solar power plants across India. This on-site role supports civil, mechanical and electrical interfaces during construction, testing and handover phases. Primary title (standardized): EPC Site Electrical Engineer – Solar Projects Location & Workplace: India — On-site (project sites across states) About the Opportunity Join a fast-paced solar EPC delivery team building utility-scale, grid-connec…",https://www.adzuna.in/details/5604068996?utm_medium=api&utm_source=1fc61054,2026-01-29T03:59:34Z,"['RTU', 'grid', 'solar PV', 'EPC']",grid engineer,2026-04-04T14:48:11.817801
adzuna,in,India,BESS Testing Engineer,Tata Autocomp,"Pune, Maharashtra",,,"Design and execute performance, safety, and compliance tests for grid-scale and other BESS, supporting engineering for IEC & UL type tests, FAT, SAT, routine test and customer-specific requirements. • Develop test plans at different levels upto system level as relevant standards or company process. • Operate HIL (Hardware-in-Loop) setups to validate BMS logic under fault conditions. • Field & Lab Work • Support for FAT (Factory Acceptance Tests) and SAT (Site Acceptance Tests). • Support for IE…",https://www.adzuna.in/details/5661147380?utm_medium=api&utm_source=1fc61054,2026-03-11T06:48:51Z,"['grid', 'BESS']",grid engineer,2026-04-04T14:48:11.818059
adzuna,in,India,Customer Application Engineer - Protection and Control Power System Engineer,GE Vernova,"Hyderabad, Telangana",,,"Job Description Summary This position will be responsible for executing Protection and Control Engineering and Consulting services for Transmission, Distribution and Industrial customers. Reporting through the Grid Automation Global Engineering and Consulting Center of Excellence manager, the Power System Protection and Control Engineer will be part of the global Center of Excellence (CoE) team. Main activity will include electrical studies, like protection coordination, arc flash studies and t…",https://www.adzuna.in/details/5671048879?utm_medium=api&utm_source=1fc61054,2026-03-19T01:46:35Z,"['grid', 'distribution', 'transmission', 'AI']",grid engineer,2026-04-04T14:48:11.818205
adzuna,in,India,Chief Executive Officer,RK HR Management,"Ahmedabad, Gujarat",,,"Job Summary: The Chief Executive Officer (CEO) – Battery Energy Storage Systems (BESS) will lead the end-to-end development and scaling of the Battery Energy Storage Systems business, overseeing strategy, manufacturing, engineering, project execution, and commercial growth. This role is responsible for building a high-growth, independent business unit, including commissioning and scaling a 2.5 GWh manufacturing facility and expanding into domestic and global markets. Key Responsibilities: Defin…",https://www.adzuna.in/land/ad/5688079137?se=en_6TjUw8RGPENaAeRtO7Q&utm_medium=api&utm_source=1fc61054&v=EC3D4031419852B5009DE8E4FEF358D563500A2E,2026-04-03T06:26:15Z,"['BESS', 'energy storage']",energy storage engineer,2026-04-04T14:48:14.469945
adzuna,in,India,Sr/Staff Engineer-Energy Storage Systems,ideaForge Technology Ltd,"Navi Mumbai, Maharashtra",,,"POSITION OVERVIEW: We are seeking a highly skilled and motivated individual as Staff Engineer within our innovative UAS company. The successful candidate will be responsible for a team working on Energy Storage Systems (Electric/Battery, IC Engine, Fuel Cells etc) of UAVs. As the Manager of ESS team, you will play a pivotal role in developing the design of Power Systems and other sub-assemblies and components (e.g, ESC, Motor, BMS etc) starting from Specifications to Concept/Detailed design, de…",https://www.adzuna.in/details/5477617989?utm_medium=api&utm_source=1fc61054,2025-11-03T07:06:15Z,"['power systems', 'energy storage', 'fuel cell', 'AI']",energy storage engineer,2026-04-04T14:48:14.470357
adzuna,in,India,Engineer - Long Duration Energy Storage,Reliance Industries Limited,"Navi Mumbai, Maharashtra",,,"Policies, Processes and Procedures 1. Create management reports on technology diligence and benchmarking with conventional technoliges 2. Work with cross-functional teams to collect and analyze data, and prepare a holistic view of the technologies in RIL perspective 3. Develop and use Excel based calculation & templates. Design and efficiency estimation of technologies based on first principles 4. Perform ASPEN Plus simulations Technology Operations 1. Evaluation/diligences of electrochemical o…",https://www.adzuna.in/details/5619872019?utm_medium=api&utm_source=1fc61054,2026-02-08T06:02:03Z,['energy storage'],energy storage engineer,2026-04-04T14:48:14.470550
adzuna,in,India,Power System Engineer -BESS,ALTRAIZE,"Bangalore, Karnataka",1500000.0,2000000.0,"Role Summary Join our energy storage engineering team to design, analyze, and validate Battery Energy Storage Systems (BESS) that are safe, grid-compliant, and standards-driven. You will lead power system studies, protection coordination, and compliance engineering.  Key Responsibilities ✔ Perform Power System Studies for BESS: • Load Flow Analysis • Short Circuit Analysis • Arc Flash Studies • Protection Coordination ✔ Ensure grid compliance and reliable system operation ✔ Design and validate …",https://www.adzuna.in/details/5645576468?utm_medium=api&utm_source=1fc61054,2026-02-26T05:42:02Z,"['load flow', 'short circuit', 'grid', 'BESS', 'energy storage']",energy storage engineer,2026-04-04T14:48:14.470739
adzuna,in,India,BESS Design Engineer,Cleantech Industry Resources ,"Ahmedabad, Gujarat",,,"Who We Are? Cleantech Industry Resources accelerates solar, wind, green hydrogen, battery storage, and EV infrastructure projects across the United States, India, and EMEA markets. The company provides turnkey ""Development as a Service,"" powered by 100% internal systems engineering and a world-class team that comes out of some of the most reputed organizations in the renewables industry. This team operates within a sophisticated software and AI environment to support projects from land originat…",https://www.adzuna.in/land/ad/5661639850?se=en_6TjUw8RGPENaAeRtO7Q&utm_medium=api&utm_source=1fc61054&v=4D9CEA8773011DC0A15A45BAD523489988AFBB9D,2026-03-11T17:50:26Z,"['battery storage', 'BESS', 'green hydrogen', 'AI']",energy storage engineer,2026-04-04T14:48:14.470915
adzuna,in,India,Electrical Engineer - BESS,Cleantech Industry Resources ,"Ahmedabad, Gujarat",,,"Who We Are? Cleantech Industry Resources accelerates solar, wind, green hydrogen, battery storage, and EV infrastructure projects across the United States, India, and EMEA markets. The company provides turnkey ""Development as a Service,"" powered by 100% internal systems engineering and a world-class team that comes out of some of the most reputed organizations in the renewables industry. This team operates within a sophisticated software and AI environment to support projects from land originat…",https://www.adzuna.in/land/ad/5672737453?se=en_6TjUw8RGPENaAeRtO7Q&utm_medium=api&utm_source=1fc61054&v=C8AB821E0A47ED8C2190B806C4074803E63BE294,2026-03-20T09:38:57Z,"['battery storage', 'BESS', 'green hydrogen', 'AI']",energy storage engineer,2026-04-04T14:48:14.471088
adzuna,in,India,Manager/Sr Manager Mechanical,Adecco India Private Limited,"Pune, Maharashtra",,,"An Ideal Candidate: To lead and manage the Mechanical R&D function for Battery Energy Storage Systems (BESS), with responsibility for innovation, design, prototyping, testing, and optimization of mechanical systems to ensure reliability, efficiency, and safety of energy storage solutions. Key Competencies: Lead mechanical design and development of BESS enclosures, thermal management systems, mounting structures, and packaging solutions. Manage end-to-end mechanical development lifecycle – conce…",https://www.adzuna.in/details/5639038713?utm_medium=api&utm_source=1fc61054,2026-02-21T06:15:49Z,"['BESS', 'energy storage']",energy storage engineer,2026-04-04T14:48:14.471274
adzuna,in,India,"Test Engineer, BESS",Tata Autocomp,"Pune, Maharashtra",,,"Design and execute performance, safety, and compliance tests for grid-scale and other Battery Energy Storage Systems (BESS). Support engineering efforts for IEC & UL type tests, Factory Acceptance Tests (FAT), Site Acceptance Tests (SAT) , routine tests, and customer-specific requirements. Duties and Responsibilities: Develop comprehensive test plans from the component to the system level, following relevant industry standards and company processes. Operate Hardware-in-the-Loop (HIL) setups to …",https://www.adzuna.in/details/5661148582?utm_medium=api&utm_source=1fc61054,2026-03-11T06:48:59Z,"['grid', 'BESS', 'energy storage']",energy storage engineer,2026-04-04T14:48:17.034327
